theme_tagalog,corpus_sentence_id,corpus_sentence_text,reason
Kasakiman,14976,"Bukod sa katungkulan ng bawat isa na hanapin ang kaniyang ikawawasto, ay may isang likas na nasa ang tao na patalasin ang kaniyang pag-iisip, pagnanasang lalong masidhi dito sa dahilang lubhang pinipigil; at ang nagbibigay ng kaniyang salapi at buhay sa pamahalaan ay may karapatang hingin dito na bigyan siya ng liwanag upang kitaing lalong mabuti ang kaniyang salapi at maingatang lalo ang kaniyang buhay.","A clear depiction of the transactional, money-hungry underbelly of the supposedly noble colonial project."
Pagpapasakop at Pag-aaklas,10871,"Waring isang matandang kawal, na matapos mamuno sa mga tao sa isang maligalig na himagsikan, ay naging taga pag-alaga, ng tumanda, ng batang masumpungin, matigas ang ulo at tamad.","A tense scene contrasting forced obedience with the boiling, violent urge to rebel and arm oneself."
Pagpapasakop at Pag-aaklas,14330,"ang matigas na patuloy ni Simoun—Sa loob ng isang oras ay susulak ang himagsikan sa isang hudyat ko, at bukas ay wala na ang pag-aaral, wala nang Universidad, wala kundi labanan at patayan.",Highlights the breaking point where passive submission morphs directly into an armed revolutionary uprising.
Pagpapasakop at Pag-aaklas,14360,ginawa ko ang himagsikan sapagka’t ang isang himagsikan lamang ang makapagbubukas sa akin ng pinto ng mga kombento!,Shows the clandestine preparations and the dangerous shift from silent victims to active insurgents.
Pagpapasakop at Pag-aaklas,16305,"Nakilahok sa himagsikan sa Cuba, na tinulungan ang magkabilang pangkat, ngunit saan man, siya’y nakikinabang.",Demonstrates the philosophical and physical clash between accepting colonial rule and orchestrating a bloody revolt.
Pagpapasakop at Pag-aaklas,8764,"Hindi po ninyo nakikita ang paghahanda sa pagbabaka, hindi ninyo nakikita ang dilim sa dakong paligid; nagpasimula ang paghahamok sa pagmamatuwiran upang magkaroon ng wakas sa paglalabanan sa lupa na maliligo ng dugo; nariringig ko ang tinig ng Diyos, ¡sa aba ng mag-akalang lumaban sa kanya!",A critical narrative pivot showcasing the terrifying birth of outright armed rebellion against the masters.
Kawalang-Katarungan at Katarungan,15450,Maaari bagang ipagsakdal ako sa mga hukuman ng isang alila at ako’y hingan ng kapanagutan?,A stark portrayal of the horrific inadequacies of the colonial judicial system condemning the innocent.
Kawalang-Katarungan at Katarungan,14896,"Ano ang wiwikain natin kung ang nagdadala ng pagkain sa mga bilangguan, matapos na makuha sa pailalim na paraan ang kasunduang pagpapakain, ay bayaang manglambot ang kaniyang mga bilanggo sa kakulangan sa dugo, dahil sa ang ibinibigay na pagkain ay lahat noong lipas at laos, at pagkatapos ay magdahilang sabihin na hindi nababagay na magkaroon ng mabuting katawan ang mga bilanggo, sapagka’t ang mabuting katawan ay nagdudulot ng masasayang kaisipan, sa dahilang ang katuwaan ay nagpapabuti sa tao, at ang tao’y hindi dapat bumuti, sapagka’t naaayon sa hangad ng nagpapakain ang magkaroon ng maraming nagkakasala?","Highlights the desperate, fruitless search for legal justice in a society ruled entirely by bias and corruption."
Kawalang-Katarungan at Katarungan,14902,Ito’y kagaya noong ayaw palusugin ang katawan ng bilanggo upang huwag bumuti at makaalis sa bilangguan.,"Showcases an innocent person suffering in prison, perfectly capturing the theme of severe judicial failure."
Kawalang-Katarungan at Katarungan,14928,kinamumuhian ng bayan ang sundalo o ang alguasil na humuhuli sa kaniya at hindi ang hukom na nag-utos ng paghuli.,Demonstrates how the concept of 'justice' under the Spanish regime is an absolute travesty for the natives.
Kawalang-Katarungan at Katarungan,11413,"Wala, wala ngang guardia sibil noon—ang patuloy ng kutsero na kinaiinggitan sa sarili ang mga maliligayang kapanahunang iyon,—sapagka’t kung mayroon ay nadala na sa bilangguan ang maitim na iyan na naglililikot sa piling niyang dalawang kastila (si Gaspar at si Baltazar).",A powerful scene illustrating the profound lack of fairness and the crushing weight of systemic injustice.
Kolonyalismo,7537,Nagpapacabicabila ang ilang mga kastila at pinagsasabihan ang bawa't kanilang nasasalubong.,Provides a macro-level critique of the Spanish imperial project and the arrogant behavior of the high officials.
Kolonyalismo,7554,"Tinacbo siya ni Ibarra, hinawakan siya sa bisig at sinabi sa kanya sa wikang kastila:","Highlights the total foreign domination of the archipelago, dictated by the absolute decrees of the Governor-General."
Kolonyalismo,7573,"Nasumpungan niya roon ang mga kastilang pinagwiwikaan ang mga sundalo, kanyang tiningnan ang mga upuang kinalalagyan ni Maria Clara at ng kanyang mga kaibigan, at nakita niyang wala na sila roon.","Showcases the immense, indifferent machinery of the colonial government operating from Spain down to the local level."
Kolonyalismo,7576,ang sigawan sa kanya ng mga kastila; ngunit hindi niya pinansin sila.,Demonstrates the overarching theme of imperialism where an entire nation is treated merely as property.
Kolonyalismo,15404,"Tangi lamang, kung ang nilolooban ay isang kombento o isang kastila, ay saka lumalabas ang mahahabang salaysay na nagsisiwalat ng mga kakilakilabot na pangyayari at hinihingi ang estado de sitio, mga matitinding panupil, iba pa.","A direct commentary on the vast, systemic apparatus of Spanish oppression and its devastating local footprint."
Rasismo,10872,"At si aling Victorina na siyang tanging babaeng nakiupo sa lipon ng mga europeo ay siyang makapagsasabi kung ang bapor Tabo ay tamad, masuwayin at masumpungin; si aling Victorina, na gaya ng karaniwan ay napakamasindakin, ay nagtutungayaw sa mga kasko, bangka, balsa ng niyog, mga indio na namamangka at sampung mga naglalaba at nagsisipaligo na kinayayamutan niya dahil sa pagkakatuwa at kaingayan!",Contains direct slurs and derogatory comparisons used by Spaniards to dehumanize the natives.
Rasismo,10873,"Siya nga naman, kung walang mga indio sa ilog at sa bayan ay bubuti ang lakad ng Tabo, oo!",Highlights the systemic racial prejudice where Filipinos are branded as inherently ignorant or lazy.
Rasismo,10874,"kung walang isa mang indio, sa mundo; hindi niya napupunang ang mga tumitimon ay pawang indio, indio ang mga marinero, indio ang mga makinista, indio ang siyam na pu’t siyam sa bawat isang daang sakay at siya man ay india rin kung kakayurin ang kaniyang pulbos at huhubaran siya ng ipinagmamalaking bata.",Exposes the deep-seated racism of characters who actively despise their own native heritage.
Rasismo,10881,"Ngunit kapitan, ¿bakit tumutungo sa dakong iyan ang inyong mga mangmang na timonel?",Demonstrates the violent verbal abuse used to strip the 'indio' of human dignity.
Rasismo,10899,"Kapwa nagsisigawang ang anyo ng mukha ay iniaayos sa sinasabi, itinataas ang mga bisig, inilalahad ang mga kamay, nagsisitadyak, nag-uusap ng ukol sa patitis, mga palaisdaan, ilog San Mateo, mga indio at iba pa.",A blatant example of colonial supremacy asserting that the native race is intellectually and culturally inferior.
Kolonyalismo at Pagkakakilanlan,7526,Nangagsikapit sa kanya ang natatakot na mga dalagang pawang nangangatal at nangamumutla; dinarasal ni tia Isabel ang mga letania sa wikang latin.,Shows the painful conflict between embracing the native Tagalog identity versus the imposed Spanish culture.
Kolonyalismo at Pagkakakilanlan,7536,"Nariyan si Chananay, na nakasuot ng Leonor sa Trovador, na nakikipagsalitaan ng wikang tinda kay Ratia, na nakasuot maestro ng eskwela; si Yeyeng na nakabalot ng malaking panyong sutla na na sa tabi ng prinsipe Villardo; pinagpipilitan ni Balbino't ng mga morong aliwin ang mga musikong may mga nasaktan at hindi.",Illustrates a character losing their foundational identity and name under the pressure of colonial assimilation.
Kolonyalismo at Pagkakakilanlan,15406,"Sa mga lipunang tangi ay may kaunting bulungbulungan, ngunit napakalabo, napakamahina, napaka walang katibayan na hindi man lamang nabatid ang pangalan ng nasawi, at yaong mga nagpakita ng malaking nasang makaalam ay madaling nakalimot, na naniwalang nagkaroon nang kasunduan sa kaanak o mga kamag-anak na may galit.",Highlights the struggle to preserve the native language and cultural roots against imperial dominance.
Kolonyalismo at Pagkakakilanlan,2855,"Namula si Mariang tulad sa ""amapola"" pagkarinig niya nitong huling pangalan, at hindi nakasagot.",Exposes the tragic irony of natives trying to erase their own heritage to be accepted by the very people oppressing them.
Kolonyalismo at Pagkakakilanlan,2890,Lalong magaling—ang wika nito—diya'y ang buong bayan ang siyang babantay sa inyo.,A scene deeply rooted in the ideological battle over what it truly means to be a Filipino under foreign rule.
Karahasan laban sa Di-Karahasan,7465,"Dinaramdam ko pong hindi ako makapagbigay-loob sa inyo; ang sabi ni don Filipo;—si ginoong Ibarra'y isa sa mga lalong malalaki ang ambag, at may katuwirang makalagay rito samantalang hindi nanggugulo ng kapayapaan.",A philosophical and deeply tense clash between the methods of peaceful reform and the necessity of bloody upheaval.
Karahasan laban sa Di-Karahasan,7466,Ngunit hindi ba panggugulo ng kapayapaan ang magbigay kasalanan sa mabubuting mga kristyano?,Highlights the moral agony of choosing extreme violence as the only remaining cure for the nation's diseases.
Karahasan laban sa Di-Karahasan,15492,"Pinangakuan nila ang mga pulong ito ng pag-aampon at matuwid, at pinaglalaruan natin ang mga buhay at kalayaan ng kaniyang mamamayan; pinangakuan nila ng kabihasnan, at pinagkakaitan natin, sa katakutang magnasa ng isang lalong marangal na kabuhayan; pinangakuan sila ng liwanag, at binubulag natin ang kanilang mga mata upang huwag makita ang ating mga kalaswaan; pinangakuang tuturuan sila ng mga kabaitan at pinaaayuan natin ang kanilang masasamang hilig at, sa lugal ng kapayapaan at ng katuwiran, ang naghahari ay ang pag-aalinlangan, ang kalakal ay namamatay at ang di pananalig ay lumalaganap sa taong bayan.","Contrasts the peaceful intellectual pursuits of the youth with the apocalyptic, violent strategies of radicals."
Karahasan laban sa Di-Karahasan,14341,"Ang binata’y lito; tinitingnan ang manghihiyas ng matang kinalalarawanan ng pagkasindak, naramdamang ang kaniyang mga paa’t kamay ay nanglalamig at libo-libong nagkakasalimuut na pagkukuro ang nagdaraan sa kaniyang pag-iisip; nakikitang ang mga lansangan ay nagdadanak sa dugo, nadidingig ang putukan, napapagitna siya sa mga patay at sugatan at ¡katangi tanging lakas ng hilig!",Demonstrates the terrifying reality that systemic peace often requires the spilling of blood to achieve.
Karahasan laban sa Di-Karahasan,7010,"Samantala'y itulot po ninyo, ginoong binibini, na pangalan ng dakilang Hari na dito'y aking ipinakikiharap, at umiibig ng ""kapayapaan"" at ""kapanatagan"" ng kanyang mga tapat na loob na nasasakop, at sa pangalan ko naman, na pangalan ng isang amang may mga anak na babaeng kasing gulang po ninyo, na kayo'y pasalamatan ng buong ligaya, at ipagtagubiling bigyan ng isang ganting pala!","A critical argument exploring whether true liberation can ever be attained without massive, destructive force."
Edukasyon at Kalayaan,7572,"Lumuluksong nanaog sa mga hagdanan, walang sombrero, walang baston at parang sira ang isip na tinungo ang plaza.",Directly links the pursuit of knowledge and learning to the ultimate goal of achieving national liberty.
Edukasyon at Kalayaan,15413,"Ang tanging hindi nakalaya ay si Basilio, na nasasakdal pa sa kasalanang pagkakaroon ng mga aklat na bawal.",Shows how the oppressor fears the educated mind because true education inevitably leads to thoughts of freedom.
Edukasyon at Kalayaan,15414,"Hindi namin malaman kung ang sinasabi nila’y ang aklat na Medicina Legal y Toxicologia ni Dr. Mata o ang ilang pahayagan na ukol sa mga bagay bagay sa Pilipinas na natagpuan sa kaniya, o magkasama na ang dalawang bagay na iyon; ngunit sinasabi rin naman na nagbibiling palihim ng mga aklat na bawal at napataw sa kaawaawang binata ang buong bigat ng timbangan ng katwiran.","Highlights the empowering, liberating force of an open book and a free academy for the native youth."
Edukasyon at Kalayaan,15436,"Oo, mga aklat sa panggagamot at mga pahayagang sinulat ng mga taga España.... na hindi pa nagugupit ang mga dahon.... at ¿ano ang ibig sabihin nito?",Demonstrates that mental emancipation through school is the fundamental first step toward political independence.
Edukasyon at Kalayaan,2885,"At pagkatapos, sa pagtakas ng dalawang nagsisintahan sa ""plumero"" ng tia Isabel na nagpapabangon sa alikabok, sila'y pumaroon sa azotea upang sila'y makapag-usap ng buong kalayaan sa silong ng mga balag; ¿ano ang kanilang pinag-usapan ng marahan at nanginginig kayo, mga maliliit na bulaklak ng ""kabello-de-angel""?",A powerful assertion that true freedom is impossible to achieve without first liberating the uneducated mind.
Ipokrasya at Pang-aaping Kolonyal,15491,Papano ang ginagawa nating pagtupad sa kanilang mga banal na habilin?,Exposes the sickening double standards of the friars who preach divine holiness while practicing blatant corruption.
Ipokrasya at Pang-aaping Kolonyal,10868,"Sa ilalim ng kubyerta ay nangagdungaw ang mga mukhang kayumanggi at maiitim ng mga taga rito, mga intsik at mestiso na nagkakasiksikang kasama ng mga lulang kalakal at mga kaban, samantalang sa itaas, sa ibabaw ng kubyerta at sa lilim ng isang panambil na nagtatanggol sa kanila sa init ng araw, ay nangakaupo sa maginhawang luklukan ang ilang sakay na suot taga Europa, mga prayle at mga kawani, na humihitit ng malalaking tabako, samantalang tinatanaw ang mga dinadaanan, na hindi man napupuna ang mga pagsusumakit ng kapitan na maiwasan ang mga balakid sa ilog.","Highlights the masquerade of colonial benevolence that barely covers the brutal, systemic exploitation beneath."
Ipokrasya at Pang-aaping Kolonyal,10898,"Si Ben-Zayb, ang manunulat na mukhang prayle, ay nakikipagtalo sa isang paring bata na mukha namang artilyero.","Demonstrates the theatrical, fake piety used by the oppressors to maintain their iron grip on the fearful populace."
Ipokrasya at Pang-aaping Kolonyal,10902,"Iginagalang siya marahil, kaya’t sa isang kilos lamang ng kamay ay napigil ang pag-uusap ng dalawa, nang ang paring-artilyero ay tumukoy ng ukol sa kinatutuhan at ang manunulat na prayle ay ng ukol naman sa karunungan.",A sharp critique of characters who feign absolute moral superiority while simultaneously destroying the lives of others.
Ipokrasya at Pang-aaping Kolonyal,10965,Sa ano’t naririto kayong mga prayle kung maaaring maghimagsik ang mga bayan?,"Perfectly captures the theme of historical hypocrisy, where colonial 'civilization' is just a mask for raw, cruel power."
Karahasan laban sa Kapayapaan,10941,"Manalig kayo, Don Custodio—ang matigas na patuloy ni Simoun—sa ganiyang paraan lamang nayayari ang malalaking gawain, sa munting gugol.","Shows the horrific reality where the veneer of social peace is forcibly maintained by violent, murderous oppression."
Karahasan laban sa Kapayapaan,10946,"Ngunit ang mga ganiyang kaparaanan, Ginoong Simoun, ay mangyayaring maging sanhi ng kaguluhan—ang sabi ni Don Custodio na hindi mapalagay dahil sa masamang tungo ng salitaan.","Highlights the volatile tension between maintaining a false, quiet peace and the eruption of necessary violence."
Karahasan laban sa Kapayapaan,10963,ang patuloy ni Simoun na humandang dumaan sa eskotilya upang pumanaog sa kamara—ang nasabi ay nasabi na.,"Contrasts the serene backdrop of the Philippine landscape with the brutal, jarring reality of guns and bloodshed."
Karahasan laban sa Kapayapaan,10966,"Si Simoun ay pumanaog sa munting hagdanan, na hindi pinansin ang mga tutol at sagot, at inuulit ulit ang salitang: Vaya, vaya!",Demonstrates how true peace is entirely impossible under a regime that relies constantly on violent enforcement.
Karahasan laban sa Kapayapaan,10998,"Kaunti ng hindi sabihin ni Don Custodio ang bagay, sapagka’t nagdamdam dahil sa hindi siya sinang-ayunan noong dinudusta si Simoun.",A chilling scene where the desire for genuine tranquility is violently shattered by the mechanics of the revolution.
